date,cl_total,cl_cash,cl_invested,w_total,w_cash,w_invested,combined,combo_6040
2026-05-15T00:00:00,100000,100000,0,100000,100000,0,200000,100000
2026-05-18T00:00:00,100000,100000,0,100000,100000,0,200000,100000
2026-05-19T00:00:00,100000,100000,0,100000,100000,0,200000,100000
2026-05-20T00:00:00,100000,0,100000,100000,93333,6667,200000,100000
2026-05-21T00:00:00,108105,0,108105,101157,93333,7824,209262,105326
2026-05-22T00:00:00,110996,0,110996,101375,93333,8041,212371,107148
2026-05-22T00:00:00,110996,0,110996,101375,93333,8041,212371,107148
2026-05-27T00:00:00,112480,343,112137,100833,93333,7500,213313,107821
2026-05-28T00:00:00,111825,343,111482,100987,93333,7654,212813,107490
2026-05-29T00:00:00,116793,343,116450,101874,93333,8540,218667,110825
2026-06-01T00:00:00,116859,343,116516,101720,93333,8386,218579,110803
2026-06-02T00:00:00,109724,5000,104724,102192,93333,8859,211916,106711
2026-06-02T00:00:00,109724,5000,104724,102192,93333,8859,211916,106711
2026-06-05T00:00:00,106008,5000,101008,101407,93333,8073,207414,104167
